#;Имя пользователя;id пользователя;Подразделение;Время прихода;Время ухода
1;Сидоров Сидр;65478;Логистика;--:--;--:--
2;00000000000000000000;3000000;Экспресс картридж;--:--;--:--
3;dghdfghdfghdfgh;123412345;Логистика;--:--;--:--
4;Иванов Иван;321321321;Инновации;--:--;--:--
5;Ким Сергей;321654987;Инновации;00:02;00:00
6;Полле Вероника;321654988;Инновации;--:--;--:--
7;Кан Владислав;321654989;Инновации;--:--;--:--
8;123123123;412334123;Отдел продаж;--:--;--:--
9;Васильев василий;654654654;Инновации;--:--;--:--
10;Вася;987987987;Логистика;--:--;--:--
11;"ajskdfj;alksdj";1233665445;Логистика;--:--;--:--
